b_range,S,energy_mev,radius_fm,prob_bare,prob_dressed
2.8421052631578947,30.593092574621377,-8.51853937,1.57037073,0.95096293,0.04903707
2.9473684210526314,19.681989662235882,-0.12209333,7.08163063,0.99544724,0.00455276
2.9473684210526314,22.181989662235882,-1.05280098,2.91846651,0.98550979,0.01449021
2.9473684210526314,23.852667880959785,-2.13369643,2.29503802,0.9785505,0.0214495
2.9473684210526314,23.964164708367225,-2.22453463,2.26502334,0.97797892,0.02202108
2.9473684210526314,24.681989662235882,-2.80538117,2.11075357,0.97488005,0.02511995
2.9473684210526314,27.181989662235882,-5.29901265,1.77383483,0.96361133,0.03638867
2.9473684210526314,29.681989662235882,-8.45915903,1.59017205,0.95207689,0.04792311
3.052631578947368,18.852667880959785,-0.10681082,7.67072585,0.99585071,0.00414929
3.052631578947368,21.352667880959785,-1.01203702,2.97674108,0.98616696,0.01383304
3.052631578947368,23.090795138260173,-2.14065294,2.31193164,0.97894673,0.02105327
3.052631578947368,23.194116419419927,-2.21874714,2.28583234,0.97849179,0.02150821
3.052631578947368,23.852667880959785,-2.75523933,2.14121845,0.97566701,0.02433299
3.052631578947368,26.352667880959785,-5.24843909,1.79742526,0.96452834,0.03547166
3.052631578947368,28.852667880959785,-8.42543392,1.60976306,0.95297563,0.04702437
3.1578947368421053,18.090795138260173,-0.09171376,8.1011805,0.99626999,0.00373001
3.1578947368421053,20.590795138260173,-0.97713267,3.03990036,0.98676463,0.01323537
3.1578947368421053,22.384113264938904,-2.14420151,2.33185322,0.97934796,0.02065204
3.1578947368421053,22.48284871731471,-2.21941147,2.30809156,0.97894736,0.02105264
3.1578947368421053,23.090795138260173,-2.71534536,2.17188245,0.97634281,0.02365719
3.1578947368421053,25.590795138260173,-5.20793564,1.81814332,0.96531529,0.03468471
3.1578947368421053,28.090795138260173,-8.41336614,1.62832737,0.95370974,0.04629026
3.263157894736842,17.384113264938904,-0.07766211,8.83891714,0.99668458,0.00331542
3.263157894736842,19.884113264938904,-0.94686884,3.09423417,0.98725602,0.01274398
3.263157894736842,21.72969900785582,-2.14796123,2.35138844,0.97973433,0.02026567
3.263157894736842,21.823784743595542,-2.21932185,2.32861873,0.9793518,0.0206482
3.263157894736842,22.384113264938904,-2.67684964,2.19959866,0.976992,0.023008
3.263157894736842,24.884113264938904,-5.18078921,1.8394966,0.96597964,0.03402036
3.263157894736842,27.384113264938904,-8.39040598,1.64741624,0.95452164,0.04547836
3.3684210526315788,16.72969900785582,-0.06687316,9.27677128,0.9969971,0.0030029
3.3684210526315788,19.22969900785582,-0.92054148,3.14482196,0.9877051,0.0122949
3.3684210526315788,21.119587215533315,-2.15122814,2.36888028,0.98007731,0.01992269
3.3684210526315788,21.209542554984203,-2.22132605,2.34680022,0.97970382,0.02029618
3.3684210526315788,21.72969900785582,-2.64479495,2.22764492,0.97754923,0.02245077
3.3684210526315788,24.22969900785582,-5.15607177,1.86132202,0.96668248,0.03331752
3.3684210526315788,26.72969900785582,-8.38161122,1.66464342,0.95516222,0.04483778
3.473684210526316,16.119587215533315,-0.05699272,10.03742658,0.99731292,0.00268708
3.473684210526316,18.619587215533315,-0.88916345,3.2018409,0.98824611,0.01175389
3.473684210526316,20.54999052966449,-2.15139692,2.38863221,0.98043596,0.01956404
3.473684210526316,20.638644968298255,-2.216483,2.36725751,0.98015935,0.01984065
3.473684210526316,21.119587215533315,-2.61786509,2.25431895,0.97807958,0.02192042
3.473684210526316,23.619587215533315,-5.13463963,1.88126465,0.96721639,0.03278361
3.473684210526316,26.119587215533315,-8.37061308,1.68279896,0.95583314,0.04416686
3.5789473684210527,15.549990529664491,-0.04741842,11.14523177,0.99762364,0.00237636
3.5789473684210527,18.04999052966449,-0.86806138,3.25647257,0.98860533,0.01139467
3.5789473684210527,20.02780491817802,-2.15894778,2.4066381,0.98077804,0.01922196
3.5789473684210527,20.10810132547618,-2.22361941,2.38436112,0.98041736,0.01958264
3.5789473684210527,20.54999052966449,-2.58199701,2.28124499,0.97865885,0.02134115
3.5789473684210527,23.04999052966449,-5.10056472,1.90271619,0.96793949,0.03206051
3.5789473684210527,25.54999052966449,-8.3537294,1.70032412,0.95654536,0.04345464
3.6842105263157894,15.02780491817802,-0.04188838,11.60981868,0.9978054,0.0021946
3.6842105263157894,17.52780491817802,-0.85378799,3.29596062,0.9889115,0.0110885
3.6842105263157894,19.52631007217875,-2.15188885,2.42774181,0.98118197,0.01881803
3.6842105263157894,19.613252688605378,-2.22209843,2.40398557,0.98081206,0.01918794
3.6842105263157894,20.02780491817802,-2.56783412,2.30354245,0.97902301,0.02097699
3.6842105263157894,22.52780491817802,-5.09745939,1.92092966,0.96833125,0.03166875
3.6842105263157894,25.02780491817802,-8.36164109,1.71743036,0.95704519,0.04295481
3.789473684210526,14.526310072178749,-0.03642863,11.99929649,0.99798654,0.00201346
3.789473684210526,17.02631007217875,-0.82613917,3.35419747,0.98934445,0.01065555
3.789473684210526,19.060959494021116,-2.15721199,2.44560545,0.98143194,0.01856806
3.789473684210526,19.141373710799144,-2.22546813,2.42347675,0.9810656,0.0189344
3.789473684210526,19.52631007217875,-2.54370881,2.33037367,0.97949773,0.02050227
3.789473684210526,22.02631007217875,-5.07024793,1.94198196,0.96893672,0.03106328
3.789473684210526,24.52631007217875,-8.35269796,1.73487245,0.95760256,0.04239744
3.894736842105263,14.060959494021116,-0.03191856,13.05481989,0.99816432,0.00183568
3.894736842105263,16.560959494021116,-0.80499466,3.4122694,0.98972753,0.01027247
3.894736842105263,18.628299374152803,-2.16458162,2.4624398,0.98166349,0.01833651
3.894736842105263,18.700433168258233,-2.21505097,2.44469529,0.98147452,0.01852548
3.894736842105263,19.060959494021116,-2.5209744,2.35517135,0.97995677,0.02004323
3.894736842105263,21.560959494021116,-5.04441901,1.96039059,0.96951155,0.03048845
3.894736842105263,24.060959494021116,-8.35158394,1.75175825,0.95810557,0.04189443
4.0,13.628299374152803,-0.02721991,13.72600297,0.99833836,0.00166164
4.0,16.128299374152803,-0.79737983,3.43816215,0.98992619,0.01007381
4.0,18.227156078071744,-2.16731159,2.47975246,0.98198742,0.01801258
4.0,18.29620154922479,-2.22363005,2.46203776,0.98170302,0.01829698
4.0,18.628299374152803,-2.49666231,2.380313,0.98042717,0.01957283
4.0,21.128299374152803,-5.05537247,1.97840626,0.96972071,0.03027929
4.0,23.628299374152803,-8.36339647,1.76818365,0.95847344,0.04152656
2.0,30.0,2.73609809,6.39208575,0.99094799,0.00905201
2.0,31.11111111111111,-0.26033791,4.71649488,0.99086767,0.00913233
2.0,32.22222222222222,-0.6176914,3.38109004,0.98579533,0.01420467
2.0,33.333333333333336,-1.11649138,2.65621664,0.9805787,0.0194213
2.0,34.44444444444444,-1.75211595,2.26069637,0.97531225,0.02468775
2.0,35.12786827098816,-2.20943627,2.08386138,0.97203136,0.02796864
